Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;1.64;6.362;6.856;1034;1368542;
2026;1.61;7.141;7.685;1160;1441789;
2027;1.58;8.383;9.015;1360;1512434;
2028;1.54;8.552;9.188;1387;1580117;
2029;1.50;9.637;10.344;1561;1644530;
2030;1.49;10.252;10.993;1660;1705141;
2031;1.46;10.658;11.418;1723;1761284;
2032;1.45;12.295;13.158;1986;1803094;
2033;1.44;12.805;13.661;2064;1839479;
2034;1.43;13.118;13.965;2110;1870226;
Pertumbuhan;1.51;6.39;6.26;6.28;3.17;
