Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;6.3;2576.8;2883.9;494.3;884756;
2026;6.3;3640.5;4059.1;747.1;932668;
2027;6.3;4855.7;5399.0;987.4;982787;
2028;6.2;5343.8;5932.3;1078.0;1035131;
2029;6.2;5715.0;6335.3;1143.9;1089795;
2030;6.2;6717.5;7433.5;1333.8;1147908;
2031;6.3;7952.4;8785.2;15665.;1209708;
2032;6.3;9084.6;10020.7;1775.7;1275190;
2033;6.3;9787.0;10781.0;1904.5;1344783;
2034;6.3;10004.5;11007.4;1938.5;1418649;
Pertumbuhan;6.3;16.3;16.0;16.4;5.4;
