Tahun;PertumbuhanEkonomi;Penjualan(GWh);Produksi(GWh);BebanPuncak(MW);Pelanggan;
2025;5.1;578.41;622.92;115.26;417793;
2026;5.1;618.4;665.68;122.37;440808;
2027;5.0;660.14;710.3;129.74;464515;
2028;4.9;703.6;756.72;137.34;488853;
2029;4.8;748.79;804.96;145.17;513805;
2030;4.7;796.67;856.04;153.42;539846;
2031;4.7;847.48;910.24;162.11;567043;
2032;4.7;901.27;967.59;171.26;595375;
2033;4.7;958.51;1028.59;180.93;625005;
2034;4.7;1019.41;1093.47;191.17;655976;
Pertumbuhan;4.8;6.5;6.5;5.8;5.1;
